student_id,student_first_name,student_last_name,student_gender,student_geo_latitude,student_geo_longitude,student_travel_time_minutes,student_travel_distance_km,student_future_school_id,student_class_id
99,Julian,Bugiel,M,52.206,20.939,30,3.34,15,4
100,Aurelia,Tworzydło,F,52.151,20.615,20,21.72,12,4
101,Dorota,Gubernat,F,52.225,21.04,39,3.24,9,4
102,Karina,Gotfryd,F,52.299,21.04,30,6.93,7,4
103,Damian,Straszak,M,52.192,20.956,28,2.61,7,4
104,Marianna,Fiedorczuk,F,52.279,20.58,27,24.97,6,4
105,Julianna,Delekta,F,52.294,21.0,28,4.7,10,4
106,Patryk,Gierat,M,52.347,21.116,40,13.18,8,4
107,Wojciech,Lorens,M,52.118,20.725,21,17.81,17,4
108,Sebastian,Krekora,M,52.321,20.618,39,25.17,13,4
109,Wojciech,Dziób,M,52.251,21.08,22,6.57,15,4
110,Mikołaj,Filiks,M,52.339,20.923,24,10.78,10,4
111,Adrian,Tarach,M,52.033,20.765,24,20.11,16,4
112,Stanisław,Bartkowicz,M,52.319,21.046,39,8.24,5,4
113,Krzysztof,Siciarz,M,52.251,20.786,28,13.22,4,4
114,Franciszek,Czesak,M,52.116,20.983,28,5.05,18,4
115,Borys,Roch,M,52.096,20.573,23,26.54,14,4
116,Antoni,Knysak,M,52.303,21.123,23,11.32,19,4
117,Hubert,Pośnik,M,52.319,21.227,33,17.29,17,4
118,Eliza,Zębik,F,52.431,20.688,35,27.14,3,4
119,Jeremi,Heczko,M,52.195,21.26,30,13.23,11,4
120,Kaja,Bystrek,F,52.121,20.742,28,16.86,15,4
121,Marcelina,Stróż,F,52.256,21.341,38,19.83,17,5
122,Sandra,Mirga,F,52.288,21.037,32,6.26,20,5
123,Marek,Domka,M,52.057,20.542,25,30.05,2,5
124,Konrad,Madura,M,52.223,21.15,34,8.63,14,5
125,Daniel,Mytych,M,52.213,21.238,31,12.54,16,5
126,Liwia,Wojtarowicz,F,52.153,21.012,34,2.96,7,5
127,Adam,Greszta,M,52.228,20.679,40,17.46,11,5
128,Jan,Ochwat,M,52.082,21.086,24,10.21,8,5
129,Szymon,Laszczyk,M,52.227,21.162,22,9.47,4,5
130,Karina,Solnica,F,52.171,20.774,35,12.74,14,5
131,Patryk,Wojaczek,M,52.023,21.039,32,10.77,4,5
132,Marek,Malarczyk,M,52.289,20.794,37,14.73,9,5
133,Anastazja,Sierpień,F,52.213,21.013,24,1.29,12,5
134,Sylwia,Kochman,F,52.169,20.949,38,4.11,3,5
135,Błażej,Kaletka,M,52.213,21.096,40,5.47,19,5
136,Sylwia,Romejko,F,52.285,21.021,39,5.3,11,5
137,Aleks,Judek,M,52.17,20.732,26,14.89,6,5
138,Maks,Iwanow,M,52.145,20.934,31,6.02,7,5
139,Borys,Domino,M,52.187,21.233,28,12.31,6,5
140,Karina,Żywica,F,52.295,21.073,20,8.4,4,5
141,Nikodem,Bystroń,M,52.227,21.379,22,20.3,11,5
142,Dawid,Rawa,M,52.296,21.193,22,14.47,12,5
143,Justyna,Ciećko,F,52.299,20.908,28,9.57,7,5
144,Klara,Sędek,F,52.21,21.008,22,0.92,13,5
145,Liwia,Kocaj,F,52.271,21.038,24,5.47,14,5
146,Julian,Szymaniuk,M,52.335,20.674,35,23.05,18,5
147,Fabian,Zimmer,M,52.27,21.169,38,11.97,6,5
148,Rafał,Twardosz,M,52.185,21.048,33,3.17,3,5
149,Fabian,Wasyluk,M,52.155,21.471,32,25.78,17,5
150,Dawid,Orkisz,M,52.278,21.248,37,16.31,19,5
151,Julian,Supernak,M,52.202,20.891,32,5.52,1,6
152,Fryderyk,Krefta,M,52.429,21.124,22,17.63,19,6
153,Julianna,Drewa,F,52.283,20.95,40,6.64,17,6
154,Kamila,Bartoś,F,52.165,21.243,21,13.91,19,6
155,Ewelina,Myrcha,F,52.194,21.01,40,0.77,10,6
156,Melania,Frączkiewicz,F,52.197,21.272,23,13.78,4,6
157,Leon,Kunert,M,52.187,21.229,29,12.09,15,6
158,Grzegorz,Koziarz,M,52.307,21.151,33,12.9,14,6
159,Tymoteusz,Borysiewicz,M,52.146,21.077,24,6.58,20,6
160,Borys,Szymula,M,52.389,21.078,31,13.32,1,6
161,Bruno,Przybycień,M,52.389,21.055,33,12.2,13,6
162,Adrianna,Pleskot,F,52.296,21.014,33,5.53,12,6
163,Roksana,Broś,F,52.261,20.961,28,4.98,19,6
164,Elżbieta,Pasich,F,52.234,21.126,31,7.99,12,6
165,Radosław,Palus,M,52.174,21.262,21,14.41,6,6
166,Grzegorz,Latek,M,52.12,21.177,35,12.88,19,6
167,Fabian,Skrobot,M,52.348,20.811,32,16.86,9,6
168,Wiktor,Sady,M,52.337,20.85,30,14.33,15,6
169,Blanka,Żakiewicz,F,52.059,21.026,26,8.33,10,6
170,Hubert,Sławik,M,52.153,20.959,34,4.37,13,6
171,Witold,Drobnik,M,52.208,20.646,37,18.13,6,6
172,Ksawery,Boguta,M,52.089,20.916,21,9.74,2,6
173,Ewelina,Lulek,F,52.32,21.261,21,19.03,1,6
174,Maciej,Dmoch,M,52.252,21.329,33,19.06,6,6
175,Maksymilian,Kolendo,M,52.279,20.68,28,19.92,4,6
176,Natasza,Broniek,F,52.125,21.059,39,6.72,9,6
177,Dominik,Engel,M,52.094,21.224,37,16.49,9,6
178,Malwina,Wysota,F,52.364,20.746,32,20.89,2,6
179,Krystyna,Smykla,F,52.167,21.191,27,11.17,12,6
180,Artur,Nehring,M,52.041,20.909,38,12.52,2,6
181,Nicole,Bortkiewicz,M,52.042,21.203,29,18.04,7,7
182,Igor,Borysiuk,M,52.12,21.267,39,17.33,8,7
183,Norbert,Sapa,M,52.242,20.769,33,13.64,7,7
184,Julian,Sporek,M,52.229,21.028,32,2.84,9,7
185,Ryszard,Piszcz,M,52.081,20.845,28,13.71,6,7
186,Tomasz,Nastały,M,52.248,20.727,40,16.08,2,7
187,Adam,Sromek,M,52.122,20.992,22,4.33,7,7
188,Tadeusz,Murach,M,52.163,20.864,20,8.65,6,7
189,Jędrzej,Banachowicz,M,52.149,20.839,29,10.61,15,7
190,Tobiasz,Gabryelczyk,M,52.199,20.791,40,10.48,5,7
191,Liwia,Brodawka,F,52.326,20.778,28,17.37,16,7
192,Marcin,Krzystek,M,52.144,20.784,36,13.6,5,7
193,Roksana,Grodek,F,52.28,21.125,24,10.22,15,7
194,Kornelia,Budzich,F,52.043,21.171,36,16.39,19,7
195,Julianna,Gąsienica,F,52.361,20.987,23,8.69,11,7
196,Marcel,Mytnik,M,52.317,21.185,20,15.08,7,7
197,Paweł,Pyszka,M,52.217,20.949,36,3.41,16,7
198,Przemysław,Sprawka,M,52.371,21.267,22,21.89,5,7
199,Aurelia,Babiuch,F,52.125,21.145,30,10.98,14,7
200,Ada,Kochanowicz,F,52.265,21.258,38,16.15,10,7
201,Marianna,Witas,F,52.156,21.167,38,10.6,19,7
202,Paweł,Kopij,M,52.115,20.667,24,20.88,1,7
203,Artur,Kuder,M,52.251,20.937,32,5.69,4,7
204,Andrzej,Sromek,M,52.24,21.344,25,19.19,6,7
205,Marcin,Kwasek,M,52.246,20.979,30,3.35,19,7
206,Karina,Pałęga,F,52.182,20.853,23,8.22,17,7
207,Iwo,Sarniak,M,52.241,20.658,26,19.16,3,7
208,Fryderyk,Budrewicz,M,52.134,20.881,30,9.29,5,7
209,Melania,Prawdzik,F,52.223,20.844,35,8.94,1,7
210,Juliusz,Pilarek,M,52.293,20.997,40,4.8,11,7
211,Tola,Latuszek,F,52.064,20.883,21,12.63,16,8
212,Tymoteusz,Szyca,M,52.217,21.27,25,14.36,19,8
213,Piotr,Panasiewicz,M,52.316,20.878,27,11.86,8,8
214,Michał,Mejer,M,52.319,20.653,30,23.27,14,8
215,Adrianna,Smolka,F,52.176,20.821,27,10.14,14,8
216,Krystyna,Maciejko,F,52.115,21.196,34,14.07,20,8
217,Błażej,Kucharz,M,52.216,20.866,27,7.5,11,8
218,Konstanty,Potoczek,M,52.069,20.858,33,13.66,11,8
219,Bartek,Sopata,M,52.211,21.036,20,2.35,18,8
220,Miłosz,Cąkała,M,52.314,20.762,33,17.56,18,8
221,Łukasz,Czupryna,M,52.069,21.01,24,7.03,17,8
222,Tadeusz,Częścik,M,52.252,20.651,25,20.05,3,8
223,Miłosz,Minkina,M,52.217,20.972,29,2.28,2,8
224,Olaf,Olesiejuk,M,52.166,20.781,30,12.65,11,8
225,Emil,Smalec,M,52.075,21.109,20,11.7,2,8
226,Mateusz,Osojca,M,52.091,20.729,31,18.98,17,8
227,Kazimierz,Wiszowata,M,52.277,21.245,31,16.1,10,8
228,Krzysztof,Klejna,M,52.22,20.902,34,5.88,5,8
229,Aleks,Dylik,M,52.307,21.208,38,15.73,13,8
230,Eryk,Dyja,M,52.243,20.935,26,5.4,17,8
231,Witold,Dudała,M,52.327,21.055,34,9.06,20,8
232,Jacek,Letkiewicz,M,52.399,21.057,20,12.8,18,8
233,Alan,Kołpak,M,52.094,20.731,40,18.75,18,8
234,Fabian,Grabczak,M,52.293,21.057,25,7.51,11,8
235,Filip,Bieniak,M,52.339,21.508,31,32.33,20,8
236,Mateusz,Balcewicz,M,52.216,21.304,24,15.99,11,8
237,Mikołaj,Brańka,M,52.253,20.812,33,12.02,17,8
238,Melania,Matyjaszek,F,52.279,20.888,25,9.56,6,8
239,Marcelina,Durlej,F,52.284,21.251,25,16.73,7,8
240,Radosław,Oślizło,M,52.135,20.733,38,16.58,3,8
241,Kajetan,Malara,M,52.078,20.962,32,8.02,14,9
242,Mieszko,Dydo,M,52.164,21.159,32,9.72,6,9
243,Kacper,Kubisz,M,52.175,20.772,23,12.64,17,9
244,Franciszek,Jakubiuk,M,52.202,21.319,38,16.05,18,9
245,Nikodem,Kościk,M,52.223,20.982,25,2.06,1,9
246,Tomasz,Gregorczuk,M,52.176,21.357,38,19.05,18,9
247,Miłosz,Gryga,M,52.117,21.124,27,10.37,12,9
248,Maksymilian,Janasik,M,52.187,20.829,35,9.16,8,9
249,Nela,Rozmiarek,F,52.027,21.104,24,13.85,1,9
250,Aleksander,Garczarek,M,52.026,21.04,35,10.69,17,9
251,Tadeusz,Mak,M,52.072,20.724,21,20.17,7,9
252,Kaja,Składanek,F,52.309,21.0,26,5.46,20,9
253,Ksawery,Duży,M,52.285,20.821,36,13.24,20,9
254,Norbert,Grzelczyk,M,52.216,21.109,35,6.27,1,9
255,Norbert,Derek,M,52.357,20.716,21,22.07,14,9
256,Iwo,Marko,M,52.366,21.09,30,12.8,7,9
257,Ada,Boruc,F,52.21,20.925,38,4.26,11,9
258,Fryderyk,Sondej,M,52.164,21.511,33,27.39,4,9
259,Adam,Borak,M,52.078,21.265,24,19.35,4,9
260,Sonia,Słyk,F,52.23,20.664,36,18.3,1,9
261,Kacper,Witkowicz,M,52.248,20.87,34,8.92,15,9
262,Konrad,Igras,M,52.306,21.424,22,26.54,9,9
263,Mieszko,Warczak,M,52.406,20.509,26,34.89,9,9
264,Tobiasz,Bystrek,M,52.054,20.466,38,34.02,7,9
265,Nicole,Moździerz,M,52.08,20.872,24,12.38,6,9
266,Anastazja,Synak,F,52.09,21.512,22,31.08,6,9
267,Bianka,Koterba,F,52.204,21.015,31,0.95,9,9
268,Kamil,Cyroń,M,52.126,21.045,25,5.97,6,9
269,Józef,Krzysztofek,M,52.192,20.983,34,1.26,16,9
270,Franciszek,Szyda,M,52.276,21.354,39,21.52,6,9
271,Roksana,Hadaś,F,52.355,21.074,24,11.48,20,10
272,Rozalia,Fiedler,F,52.206,20.751,29,12.76,13,10
273,Ewelina,Kanik,F,52.438,20.824,27,20.72,1,10
274,Alex,Rysz,M,52.063,20.877,24,13.01,13,10
275,Adrian,Staniaszek,M,52.247,20.774,40,13.64,2,10
276,Igor,Śliz,M,52.181,20.872,38,7.37,5,10
277,Bartek,Grzeszkowiak,M,52.135,20.909,34,7.77,5,10
278,Bartek,Kunc,M,52.246,21.254,37,15.0,10,10
279,Radosław,Pietrasz,M,52.192,21.289,21,14.84,12,10
280,Jacek,Kurzak,M,52.146,21.07,33,6.22,18,10
281,Tymon,Kłoczko,M,52.072,21.058,34,9.34,5,10
282,Bruno,Nowotnik,M,52.146,20.859,26,9.75,9,10
283,Kamil,Ciapa,M,52.129,20.639,21,21.61,11,10
284,Stefan,Mizgała,M,52.155,20.896,35,7.44,19,10
285,Cyprian,Czak,M,52.102,20.816,20,14.09,5,10
286,Liwia,Kasper,F,52.181,21.043,30,3.1,4,10
287,Damian,Zaniewicz,M,52.04,20.721,24,21.98,9,10
288,Tobiasz,Więcławek,M,52.131,20.997,21,3.59,11,10
289,Janina,Kasper,F,52.227,21.042,30,3.46,3,10
290,Kalina,Zieniewicz,F,52.276,20.971,31,5.2,2,10
291,Ignacy,Kowala,M,52.209,21.216,39,11.25,6,10
292,Fabian,Derek,M,52.373,21.329,34,25.12,8,10
293,Marcelina,Wasiuk,F,52.202,20.964,27,1.91,2,10
294,Justyna,Mendak,F,52.164,20.966,32,3.53,8,10
295,Filip,Pajdak,M,52.199,21.046,20,2.32,2,10
296,Damian,Robaszkiewicz,M,52.099,20.938,39,8.13,4,10
297,Łukasz,Ruszel,M,52.222,20.943,20,3.92,10,10
298,Iwo,Skierka,M,52.225,20.972,33,2.64,4,10
299,Tobiasz,Handke,M,52.033,20.977,32,9.48,9,10
300,Patryk,Protasiuk,M,52.181,21.161,25,8.97,10,10
301,Jędrzej,Jachimczak,M,52.07,20.841,30,14.46,17,11
302,Gabriel,Adamów,M,52.181,21.089,27,5.41,14,11
303,Oskar,Wężyk,M,52.178,21.397,22,20.95,12,11
304,Inga,Sycz,F,52.338,20.764,36,18.72,16,11
305,Apolonia,Talaśka,F,52.291,20.998,32,4.69,14,11
306,Tobiasz,Kupś,M,52.286,21.095,39,9.04,1,11
307,Eliza,Wyrostek,F,52.295,20.883,28,10.61,3,11
308,Liwia,Furmankiewicz,F,52.241,20.71,31,16.56,13,11
309,Julian,Dziełak,M,52.278,21.091,39,8.42,11,11
310,Cyprian,Suchoń,M,52.097,20.961,29,7.11,13,11
311,Tymoteusz,Bociek,M,52.127,20.594,28,23.98,14,11
312,Roksana,Glegoła,F,52.217,20.824,30,9.65,1,11
313,Leonard,Walocha,M,52.237,21.107,30,7.23,7,11
314,Aleksander,Zaucha,M,52.238,21.071,21,5.41,20,11
315,Gabriel,Koronkiewicz,M,52.253,21.204,31,12.85,9,11
316,Elżbieta,Kacperczyk,F,52.3,21.147,31,12.34,1,11
317,Jeremi,Mitek,M,52.044,21.061,31,10.86,3,11
318,Blanka,Prokopiak,F,52.214,20.86,20,7.67,14,11
319,Jędrzej,Małyszka,M,52.28,20.996,25,4.23,14,11
320,Inga,Białczyk,F,52.334,20.766,23,18.41,4,11
321,Janina,Palonek,F,52.274,20.778,31,14.81,18,11
322,Daniel,Postawa,M,52.281,20.961,24,5.99,16,11
323,Kamil,Ślimak,M,52.266,21.318,25,19.22,17,11
324,Dagmara,Szwaj,F,52.269,21.158,36,11.34,19,11
325,Maurycy,Konat,M,52.266,21.303,23,18.46,14,11
326,Nela,Janoszka,F,52.191,20.639,38,18.5,2,11
327,Hubert,Kwinta,M,52.215,21.098,36,5.66,15,11
328,Melania,Moczko,F,52.264,21.217,35,14.05,17,11
329,Tomasz,Supernak,M,52.176,20.943,26,4.03,11,11
330,Leon,Kosz,M,52.155,21.32,33,18.24,12,11
331,Maksymilian,Kij,M,52.186,20.818,40,9.76,5,12
332,Bruno,Preuss,M,52.078,21.093,32,10.77,1,12
333,Miłosz,Szabla,M,52.188,20.956,21,2.78,19,12
334,Paweł,Pikor,M,52.216,20.758,26,12.91,8,12
335,Fryderyk,Kuświk,M,52.132,21.292,36,18.01,8,12
336,Iwo,Folta,M,52.127,21.361,39,21.71,6,12
337,Ignacy,Miszkiewicz,M,52.206,20.993,24,0.67,1,12
338,Dominik,Olearczyk,M,52.251,20.728,27,16.16,20,12
339,Miłosz,Janisz,M,52.278,20.886,28,9.6,5,12
340,Jerzy,Hałka,M,52.207,20.886,28,6.06,13,12
341,Stanisław,Betka,M,52.323,20.999,40,6.2,17,12
342,Natan,Elsner,M,52.249,21.017,37,3.28,3,12
343,Aniela,Kutera,F,52.21,20.997,23,0.64,13,12
344,Nataniel,Dułak,M,51.916,21.032,38,15.78,13,12
345,Wojciech,Bąbel,M,52.35,21.151,21,15.09,19,12
346,Błażej,Czermak,M,52.306,20.805,27,15.04,19,12
347,Fabian,Kulma,M,52.034,21.105,22,13.56,14,12
348,Jerzy,Szkatuła,M,52.265,21.114,20,8.94,10,12
349,Norbert,Malecha,M,52.253,21.089,23,7.11,3,12
350,Wiktor,Orpel,M,52.325,20.923,29,10.09,13,12
351,Aniela,Wota,F,52.363,20.873,32,14.51,1,12
352,Jakub,Panasewicz,M,52.196,20.965,30,1.95,18,12
353,Kalina,Kroczak,F,52.16,20.821,32,10.94,9,12
354,Marek,Pleśniak,M,52.253,20.691,22,18.13,11,12
355,Aleks,Zasępa,M,52.244,20.931,24,5.63,16,12
356,Maksymilian,Mendak,M,52.165,21.142,38,8.85,11,12
357,Blanka,Omiotek,F,52.272,21.081,22,7.65,17,12
358,Inga,Apostel,F,52.119,21.128,35,10.46,4,12
359,Tymoteusz,Kieszek,M,52.152,20.872,34,8.8,14,12
360,Nikodem,Chojna,M,52.184,20.963,36,2.63,19,12
361,Ignacy,Kucab,M,52.273,20.995,26,3.87,17,13
362,Dagmara,Ligas,F,52.288,21.001,35,4.42,6,13
363,Jędrzej,Prażmo,M,52.242,21.211,36,12.65,8,13
364,Andrzej,Rode,M,51.949,20.984,32,13.32,4,13
365,Igor,Elert,M,52.165,20.752,21,14.17,11,13
366,Roksana,Bejnarowicz,F,52.105,21.199,35,14.68,19,13
367,Krzysztof,Gumuła,M,52.159,20.972,20,3.46,20,13
368,Roksana,Nitek,F,52.178,21.028,30,2.5,2,13
369,Nicole,Mielcarz,M,52.293,21.02,26,5.65,9,13
370,Maurycy,Korzekwa,M,52.309,20.732,25,18.81,20,13
371,Anita,Borkiewicz,F,52.3,21.304,25,20.22,13,13
372,Apolonia,Chudoba,F,52.089,21.014,28,6.26,3,13
373,Dorota,Białous,F,52.115,20.77,38,15.77,10,13
374,Marcel,Budzeń,M,52.41,20.957,28,12.63,6,13
375,Borys,Czupryna,M,52.052,21.118,26,13.28,9,13
376,Andrzej,Sendor,M,52.101,21.362,30,23.05,5,13
377,Kalina,Liedtke,F,52.165,21.348,36,19.14,6,13
378,Oliwier,Nastały,M,52.261,21.102,26,8.15,17,13
379,Grzegorz,Łupina,M,52.171,21.081,33,5.5,10,13
380,Gaja,Owsianka,F,52.0,20.731,21,23.46,17,13
381,Stefan,Wójt,M,52.028,20.703,20,23.42,8,13
382,Ksawery,Dubel,M,52.338,20.814,38,16.21,11,13
383,Marcelina,Cuch,F,52.146,20.986,34,3.4,18,13
384,Arkadiusz,Ficoń,M,52.107,20.948,36,7.24,15,13
385,Igor,Matyjaszek,M,52.359,20.946,28,10.64,12,13
386,Gaja,Ostasz,F,52.181,21.277,23,14.8,12,13
387,Rafał,Kołata,M,52.117,20.949,39,6.68,2,13
388,pani,Anna,M,52.355,21.117,23,13.6,8,13
389,Klara,Kościuszko,F,52.144,21.15,38,10.3,13,13
390,Konstanty,Mytych,M,52.271,20.899,28,8.6,10,13
391,Paweł,Klaja,M,52.204,21.15,21,7.69,11,14
392,Adam,Majdak,M,52.161,20.994,22,2.25,20,14
393,Krystian,Reszke,M,52.172,20.906,40,6.11,9,14
394,Michał,Doroszuk,M,52.36,20.739,26,21.07,10,14
395,Olgierd,Naumiuk,M,52.154,21.251,29,14.88,18,14
396,Arkadiusz,Złotek,M,52.055,20.674,32,23.55,10,14
397,Dorota,Latacz,F,52.213,20.93,25,4.18,8,14
398,Rafał,Sych,M,52.256,21.264,30,16.0,20,14
399,Marcel,Warych,M,52.203,21.243,24,12.32,12,14
400,Anastazja,Sładek,F,52.099,20.974,23,6.34,16,14
401,Marika,Hermann,F,52.157,20.984,32,2.95,15,14
402,Alex,Sieradzan,M,52.193,20.897,29,5.51,16,14
403,Roksana,Żok,F,52.227,21.216,34,12.18,8,14
404,Monika,Leonowicz,F,52.179,20.838,32,9.15,18,14
405,Ada,Pych,F,52.127,20.726,35,17.36,19,14
406,Jan,Zawiasa,M,52.105,21.102,20,9.86,2,14
407,Tobiasz,Sieradzan,M,52.084,21.097,37,10.65,12,14
408,Klara,Cąkała,F,52.212,21.236,37,12.4,9,14
409,Krzysztof,Buk,M,52.107,21.18,33,13.66,10,14
410,Łukasz,Wakuła,M,52.241,21.027,40,3.38,4,14
411,Nela,Matura,F,52.285,21.173,34,12.87,15,14
412,Kazimierz,Frukacz,M,52.27,21.095,27,8.26,17,14
413,Cyprian,Thiel,M,52.259,20.851,36,10.37,18,14
414,Stefan,Iskierka,M,52.066,20.733,38,20.06,3,14
415,Tymon,Pyszka,M,52.346,21.003,20,7.45,17,14
416,Damian,Łyskawa,M,52.11,21.214,39,15.17,11,14
417,Dariusz,Dela,M,52.236,20.85,32,9.28,6,14
418,Monika,Czochara,F,52.335,21.18,27,15.76,3,14
419,Radosław,Tasarz,M,52.199,21.165,38,8.3,4,14
